iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,3.9688585988183673,4.452910949876346,12,lgbm_small,52,152
2,3.9058124874794453,4.385703620084484,12,lgbm_small,52,152
3,3.8473836017777803,4.322814065905692,12,lgbm_small,52,152
4,3.795799483840209,4.270703551010616,12,lgbm_small,52,152
5,3.748423318075942,4.218943599129417,12,lgbm_small,52,152
6,3.7047813134753813,4.178367737738804,12,lgbm_small,52,152
7,3.6620881784126196,4.136572406025578,12,lgbm_small,52,152
8,3.6213932398265953,4.099691545422988,12,lgbm_small,52,152
9,3.586848289469481,4.064916369846452,12,lgbm_small,52,152
10,3.5511969081661987,4.031295649132777,12,lgbm_small,52,152
11,3.5209109981976074,4.006482203992063,12,lgbm_small,52,152
12,3.490691880989998,3.9822287359983437,12,lgbm_small,52,152
13,3.462738260278189,3.96183533850715,12,lgbm_small,52,152
14,3.4362507063967107,3.941796436939432,12,lgbm_small,52,152
15,3.411021799758427,3.9254364057885396,12,lgbm_small,52,152
16,3.3887500041784167,3.904397379645916,12,lgbm_small,52,152
17,3.368483790376804,3.885643494821361,12,lgbm_small,52,152
18,3.34832101740555,3.875271555179796,12,lgbm_small,52,152
19,3.328786595307074,3.864743698113583,12,lgbm_small,52,152
20,3.3096162633155966,3.8494655801392925,12,lgbm_small,52,152
21,3.292651817868371,3.836591506103662,12,lgbm_small,52,152
22,3.276003903215333,3.826824179090398,12,lgbm_small,52,152
23,3.2610220659113067,3.813986678929624,12,lgbm_small,52,152
24,3.2464879338903967,3.8015404772971144,12,lgbm_small,52,152
25,3.2336350889451233,3.7953276457934875,12,lgbm_small,52,152
26,3.222107521352895,3.789097117230784,12,lgbm_small,52,152
27,3.211152269661346,3.7839781912807955,12,lgbm_small,52,152
28,3.19994845799058,3.7729886726888955,12,lgbm_small,52,152
29,3.1898752537482093,3.7619392960330433,12,lgbm_small,52,152
30,3.1794395927216677,3.7526417973678545,12,lgbm_small,52,152
31,3.1700471887348685,3.7483910261161397,12,lgbm_small,52,152
32,3.160239068486057,3.7423603373488388,12,lgbm_small,52,152
33,3.151210129496916,3.7391344952266556,12,lgbm_small,52,152
34,3.143270856148287,3.7373849975937907,12,lgbm_small,52,152
35,3.1360808549279047,3.7313184091613643,12,lgbm_small,52,152
36,3.12794946337665,3.7254678636354095,12,lgbm_small,52,152
37,3.121232324681134,3.724700463153514,12,lgbm_small,52,152
38,3.113341029050434,3.722690786044425,12,lgbm_small,52,152
39,3.105245775338185,3.718839752104748,12,lgbm_small,52,152
40,3.098430474923016,3.7142887261408988,12,lgbm_small,52,152
41,3.091328410323024,3.7121173307574207,12,lgbm_small,52,152
42,3.085943343942871,3.7099629952909856,12,lgbm_small,52,152
43,3.0804911675819686,3.7036347591642533,12,lgbm_small,52,152
44,3.074426945842364,3.7015709786392783,12,lgbm_small,52,152
45,3.069252154754759,3.6942077765169326,12,lgbm_small,52,152
46,3.064004917752807,3.6920966909052892,12,lgbm_small,52,152
47,3.058092929811734,3.6943752626240287,12,lgbm_small,52,152
48,3.052775522099369,3.696065012658563,12,lgbm_small,52,152
49,3.0470113837703257,3.6943878225704534,12,lgbm_small,52,152
50,3.042415029866267,3.6941939223785325,12,lgbm_small,52,152
51,3.0373059517964713,3.692132002598666,12,lgbm_small,52,152
52,3.0323237271123844,3.691554939827718,12,lgbm_small,52,152
53,3.027675056795766,3.6944550845973865,12,lgbm_small,52,152
54,3.0222500887613273,3.702759810455026,12,lgbm_small,52,152
55,3.0162082106573314,3.705565976473924,12,lgbm_small,52,152
56,3.010661196717286,3.717291323282788,12,lgbm_small,52,152
57,3.0051627881872975,3.716160381387864,12,lgbm_small,52,152
58,3.000934581354778,3.715339478332754,12,lgbm_small,52,152
59,2.99714522797916,3.7162844678945173,12,lgbm_small,52,152
60,2.9924172604742614,3.7224267542830853,12,lgbm_small,52,152
61,2.9869348975812082,3.7153488988031786,12,lgbm_small,52,152
62,2.982528896502036,3.7142794779113393,12,lgbm_small,52,152
63,2.977652837064094,3.71628134729459,12,lgbm_small,52,152
64,2.97330695540106,3.7190618549972263,12,lgbm_small,52,152
65,2.9684736727477428,3.7170927255612534,12,lgbm_small,52,152
66,2.964025720297615,3.7226687699198298,12,lgbm_small,52,152
67,2.9597102660912857,3.7212811229159013,12,lgbm_small,52,152
68,2.9547160607319594,3.7203048938851238,12,lgbm_small,52,152
69,2.9507407320128616,3.725711370918908,12,lgbm_small,52,152
70,2.9467415125562533,3.72446963782807,12,lgbm_small,52,152
71,2.9433872298284203,3.7240387050318566,12,lgbm_small,52,152
72,2.9403957843203306,3.7226763163652197,12,lgbm_small,52,152
73,2.9361361530060655,3.7269095848724527,12,lgbm_small,52,152
74,2.931916862524206,3.7272023849822142,12,lgbm_small,52,152
75,2.928147909567311,3.7269252933747916,12,lgbm_small,52,152
76,2.9240604878346073,3.725831967686558,12,lgbm_small,52,152
77,2.921001964733452,3.7316119973019792,12,lgbm_small,52,152
78,2.9175685333026222,3.7287888324166714,12,lgbm_small,52,152
79,2.9134967545595156,3.7266958606578364,12,lgbm_small,52,152
80,2.909879431284349,3.7283642806703328,12,lgbm_small,52,152
81,2.906625292247689,3.73208409527656,12,lgbm_small,52,152
82,2.9032365040009993,3.731293321934798,12,lgbm_small,52,152
83,2.900037065719221,3.7308841401147532,12,lgbm_small,52,152
84,2.8949667874314358,3.7329102695626686,12,lgbm_small,52,152
85,2.8909732350962374,3.7367571049390658,12,lgbm_small,52,152
