iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,4.072494870519711,4.34592158120895,48,lgbm_medium,1,101
2,4.050091478782782,4.357540398938711,48,lgbm_medium,1,101
3,4.028754312237922,4.378403343581705,48,lgbm_medium,1,101
4,4.00697283843325,4.373181388269388,48,lgbm_medium,1,101
5,3.9872188968963798,4.3850928986694955,48,lgbm_medium,1,101
6,3.970601768591556,4.405851080708748,48,lgbm_medium,1,101
7,3.9522276432730283,4.424433286162587,48,lgbm_medium,1,101
8,3.935739687596111,4.442130161605749,48,lgbm_medium,1,101
9,3.9194685285465387,4.456124992972962,48,lgbm_medium,1,101
10,3.9037248374998903,4.4717553350172885,48,lgbm_medium,1,101
11,3.8845528987754685,4.473462710149929,48,lgbm_medium,1,101
12,3.8736450205761694,4.481248604647652,48,lgbm_medium,1,101
13,3.8591676140607722,4.492060386738336,48,lgbm_medium,1,101
14,3.843176998991283,4.513572553572243,48,lgbm_medium,1,101
15,3.8257312586513694,4.513157307191283,48,lgbm_medium,1,101
16,3.8109971227392903,4.534253704165462,48,lgbm_medium,1,101
17,3.794796006650283,4.534612298868856,48,lgbm_medium,1,101
18,3.7803678561650216,4.549115441471484,48,lgbm_medium,1,101
19,3.763796952082098,4.554586524839587,48,lgbm_medium,1,101
20,3.747157025370024,4.565812743302174,48,lgbm_medium,1,101
21,3.732325428026122,4.572871346459509,48,lgbm_medium,1,101
22,3.7183816122671987,4.576275086286582,48,lgbm_medium,1,101
23,3.7058087605158296,4.5881002057716715,48,lgbm_medium,1,101
24,3.692063831364915,4.59405300470159,48,lgbm_medium,1,101
25,3.6822359698197094,4.605233693052872,48,lgbm_medium,1,101
26,3.669247974631283,4.610255442339406,48,lgbm_medium,1,101
27,3.6599524274465014,4.623341061874276,48,lgbm_medium,1,101
28,3.6447706084863642,4.62429792553903,48,lgbm_medium,1,101
29,3.6344868428070085,4.6281670458779205,48,lgbm_medium,1,101
30,3.622035364031154,4.63502131847509,48,lgbm_medium,1,101
31,3.608291861908773,4.632994983111165,48,lgbm_medium,1,101
32,3.5968050425403897,4.635140556291539,48,lgbm_medium,1,101
33,3.5877751013324524,4.640647258243637,48,lgbm_medium,1,101
34,3.5757149780565833,4.641054585555484,48,lgbm_medium,1,101
35,3.5651663758836434,4.638151054135417,48,lgbm_medium,1,101
36,3.5564823520406166,4.659414448643999,48,lgbm_medium,1,101
37,3.5471528574280633,4.66416744982025,48,lgbm_medium,1,101
38,3.5370784216083804,4.6664183794973795,48,lgbm_medium,1,101
39,3.5272831414491845,4.665976177542089,48,lgbm_medium,1,101
40,3.5191630249112085,4.676467049768823,48,lgbm_medium,1,101
41,3.5077087384119103,4.67544834971541,48,lgbm_medium,1,101
42,3.500699066995863,4.680136707033074,48,lgbm_medium,1,101
43,3.493043166346937,4.682846589663537,48,lgbm_medium,1,101
44,3.4845782575389888,4.690168040353135,48,lgbm_medium,1,101
45,3.475973898729067,4.686365234558973,48,lgbm_medium,1,101
46,3.4674154855418586,4.680867324936141,48,lgbm_medium,1,101
47,3.4594559595986354,4.685371277143582,48,lgbm_medium,1,101
48,3.4505702146512975,4.692769851603967,48,lgbm_medium,1,101
49,3.4431647071726577,4.6911783774674,48,lgbm_medium,1,101
50,3.437379024223864,4.69407130338008,48,lgbm_medium,1,101
51,3.4301021183680342,4.699236071390404,48,lgbm_medium,1,101
52,3.4233068237233715,4.70532204062371,48,lgbm_medium,1,101
53,3.417070844272564,4.707791826874488,48,lgbm_medium,1,101
54,3.4083038323899064,4.713797110582702,48,lgbm_medium,1,101
55,3.400512147300434,4.7207433352014085,48,lgbm_medium,1,101
56,3.393065776966073,4.71970186971651,48,lgbm_medium,1,101
57,3.3858323431060358,4.718296753026376,48,lgbm_medium,1,101
58,3.3786980260527604,4.717264007765813,48,lgbm_medium,1,101
59,3.3720044205348456,4.725394507844887,48,lgbm_medium,1,101
60,3.3647747487463717,4.726306805201539,48,lgbm_medium,1,101
61,3.35842686170724,4.730115908633412,48,lgbm_medium,1,101
62,3.350682839297569,4.732770047513819,48,lgbm_medium,1,101
63,3.3431609251313,4.735733985059472,48,lgbm_medium,1,101
64,3.3356068452754797,4.739289159103202,48,lgbm_medium,1,101
65,3.3301963940182464,4.745293684969203,48,lgbm_medium,1,101
66,3.3228063981401568,4.7464210709871555,48,lgbm_medium,1,101
67,3.314886275596699,4.741825139566229,48,lgbm_medium,1,101
68,3.3095684461388077,4.747364931560619,48,lgbm_medium,1,101
69,3.3041883523919853,4.754209540345918,48,lgbm_medium,1,101
70,3.299237896742331,4.7600863870639145,48,lgbm_medium,1,101
71,3.2934433666213274,4.763286040454198,48,lgbm_medium,1,101
72,3.2890581351482884,4.7691903271209135,48,lgbm_medium,1,101
73,3.28317669235993,4.765888666924925,48,lgbm_medium,1,101
74,3.277865854995935,4.765117172021534,48,lgbm_medium,1,101
75,3.271838714913028,4.763826020712858,48,lgbm_medium,1,101
76,3.26505914093436,4.761546694582832,48,lgbm_medium,1,101
77,3.2591461440654936,4.7661531649380535,48,lgbm_medium,1,101
78,3.253485886952753,4.777497701320383,48,lgbm_medium,1,101
79,3.247422098180033,4.782202634948578,48,lgbm_medium,1,101
80,3.2422776757900986,4.784352052072264,48,lgbm_medium,1,101
81,3.2360564191394174,4.784957074891912,48,lgbm_medium,1,101
82,3.2314552818679605,4.79200423830022,48,lgbm_medium,1,101
83,3.2270389827648915,4.791602331415426,48,lgbm_medium,1,101
84,3.2225537136193516,4.792301693370624,48,lgbm_medium,1,101
85,3.2163549402051705,4.7906204545317985,48,lgbm_medium,1,101
86,3.210123038990205,4.794629981421641,48,lgbm_medium,1,101
87,3.2068469664511863,4.796230674750457,48,lgbm_medium,1,101
88,3.20162698383416,4.80642164916752,48,lgbm_medium,1,101
89,3.195102291595386,4.803752772479926,48,lgbm_medium,1,101
90,3.1908070866872267,4.807825322014726,48,lgbm_medium,1,101
91,3.1846307710641817,4.808816537286304,48,lgbm_medium,1,101
92,3.180071066948332,4.808418656195645,48,lgbm_medium,1,101
93,3.174973788981044,4.811098513553609,48,lgbm_medium,1,101
94,3.1712045965152216,4.815613460833839,48,lgbm_medium,1,101
95,3.1667046803208834,4.8189251749584425,48,lgbm_medium,1,101
96,3.1623369135473776,4.824007822166763,48,lgbm_medium,1,101
97,3.1560756882294374,4.822571884135934,48,lgbm_medium,1,101
98,3.15153086485355,4.823621430331451,48,lgbm_medium,1,101
99,3.1460891777585145,4.824867424192653,48,lgbm_medium,1,101
100,3.140946450249296,4.824909274269679,48,lgbm_medium,1,101
101,3.137507227851755,4.8282808762864216,48,lgbm_medium,1,101
102,3.1319266021876926,4.8311117565369965,48,lgbm_medium,1,101
103,3.128077833553999,4.831671682446027,48,lgbm_medium,1,101
104,3.123191129581442,4.834726725681134,48,lgbm_medium,1,101
105,3.1193311621874455,4.83842238172677,48,lgbm_medium,1,101
106,3.1139005215221514,4.83994615648064,48,lgbm_medium,1,101
107,3.110934883714729,4.8398933778708235,48,lgbm_medium,1,101
108,3.1054828750682097,4.841307926422284,48,lgbm_medium,1,101
109,3.1011539936416486,4.839956990143095,48,lgbm_medium,1,101
110,3.0973751709942796,4.8438935351004675,48,lgbm_medium,1,101
111,3.0927092095797475,4.8459283837684906,48,lgbm_medium,1,101
112,3.086638388235766,4.8539654595441455,48,lgbm_medium,1,101
113,3.083217169652882,4.858138150297382,48,lgbm_medium,1,101
114,3.0771753543192224,4.867635525279333,48,lgbm_medium,1,101
115,3.07157883778712,4.871765280900236,48,lgbm_medium,1,101
116,3.0665761172499377,4.873052905962791,48,lgbm_medium,1,101
117,3.062013286225148,4.874260840069846,48,lgbm_medium,1,101
118,3.059101188360738,4.873766447292418,48,lgbm_medium,1,101
119,3.053285367071365,4.875181604233081,48,lgbm_medium,1,101
120,3.0499322704769254,4.875563749932951,48,lgbm_medium,1,101
121,3.046026101357329,4.88127473041606,48,lgbm_medium,1,101
122,3.0428501349156414,4.883865242346937,48,lgbm_medium,1,101
123,3.040273284970163,4.886971121428327,48,lgbm_medium,1,101
124,3.0350466216788474,4.886493152995555,48,lgbm_medium,1,101
125,3.0298623147889376,4.886627195757059,48,lgbm_medium,1,101
126,3.0268138709956007,4.886220551038653,48,lgbm_medium,1,101
127,3.022952696434949,4.887668013163611,48,lgbm_medium,1,101
128,3.0183419689055655,4.891551255364074,48,lgbm_medium,1,101
129,3.0157013925961254,4.895520624673619,48,lgbm_medium,1,101
130,3.0126970185820205,4.894388007422233,48,lgbm_medium,1,101
131,3.0090300306843774,4.895305928898786,48,lgbm_medium,1,101
132,3.0048578393534715,4.896535647721428,48,lgbm_medium,1,101
133,3.000438863049079,4.8970425285703785,48,lgbm_medium,1,101
134,2.9951927124820776,4.895169027484046,48,lgbm_medium,1,101
135,2.992611676977004,4.894888032046312,48,lgbm_medium,1,101
