iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,3.98729832471019,4.4955759767482295,6,lgbm_large,241,341
2,3.9439010626217845,4.447621153040436,6,lgbm_large,241,341
3,3.9014189881694143,4.403151020222198,6,lgbm_large,241,341
4,3.8599951779000383,4.357013184597168,6,lgbm_large,241,341
5,3.822264041838639,4.314629136439761,6,lgbm_large,241,341
6,3.785570989517266,4.274598328160684,6,lgbm_large,241,341
7,3.746885163791988,4.234491762636093,6,lgbm_large,241,341
8,3.7091362713816145,4.1961345019355685,6,lgbm_large,241,341
9,3.675277672749758,4.161136517169831,6,lgbm_large,241,341
10,3.6399649769457776,4.122448326811498,6,lgbm_large,241,341
11,3.6078499915755766,4.0889902017545,6,lgbm_large,241,341
12,3.574389457392252,4.0554070536798505,6,lgbm_large,241,341
13,3.541841313284332,4.022858374990626,6,lgbm_large,241,341
14,3.5094303024265887,3.9928683898221067,6,lgbm_large,241,341
15,3.4782398184506094,3.9630913362500055,6,lgbm_large,241,341
16,3.4476831941120656,3.9330825638352747,6,lgbm_large,241,341
17,3.420210033274023,3.9045014441226393,6,lgbm_large,241,341
18,3.3914723916583647,3.877336752864882,6,lgbm_large,241,341
19,3.362944176009568,3.8501800479184274,6,lgbm_large,241,341
20,3.3350251257300467,3.8252304121130205,6,lgbm_large,241,341
21,3.307985725493429,3.8002226072107534,6,lgbm_large,241,341
22,3.2820953921767937,3.776228103988528,6,lgbm_large,241,341
23,3.256685636310017,3.75433117789415,6,lgbm_large,241,341
24,3.2313753503409632,3.7291414874953817,6,lgbm_large,241,341
25,3.207032897264608,3.707630293459198,6,lgbm_large,241,341
26,3.184762675175395,3.689982511511936,6,lgbm_large,241,341
27,3.1614968111490485,3.669975561089137,6,lgbm_large,241,341
28,3.1387062516262616,3.6504104924944922,6,lgbm_large,241,341
29,3.1168237901599967,3.6297239475306564,6,lgbm_large,241,341
30,3.0951591666143745,3.6103170404467813,6,lgbm_large,241,341
31,3.073760334872458,3.5922931825232705,6,lgbm_large,241,341
32,3.054489024789119,3.5772869668949445,6,lgbm_large,241,341
33,3.035851726484701,3.562717899656668,6,lgbm_large,241,341
34,3.0160905804979037,3.5474694666064406,6,lgbm_large,241,341
35,2.9972227554548807,3.531060366074292,6,lgbm_large,241,341
36,2.97868408549518,3.5156593918340806,6,lgbm_large,241,341
37,2.9605067949759203,3.4993836123490483,6,lgbm_large,241,341
38,2.944152976245471,3.4868474411252675,6,lgbm_large,241,341
39,2.927136519113762,3.471444282232121,6,lgbm_large,241,341
40,2.910110214628864,3.4582359070202204,6,lgbm_large,241,341
41,2.8936115477378745,3.4440549940236687,6,lgbm_large,241,341
42,2.8776193874944282,3.430488376673095,6,lgbm_large,241,341
43,2.862086841782043,3.4170281979568746,6,lgbm_large,241,341
44,2.846576779665924,3.404340346887836,6,lgbm_large,241,341
45,2.831819253200525,3.3917258158108097,6,lgbm_large,241,341
46,2.817556960710167,3.378170268535437,6,lgbm_large,241,341
47,2.8025626459479933,3.3667996570591803,6,lgbm_large,241,341
48,2.7885899946386665,3.3562881653818724,6,lgbm_large,241,341
49,2.7747156162898756,3.34482360949101,6,lgbm_large,241,341
50,2.7612143403404583,3.33557148589336,6,lgbm_large,241,341
51,2.7480243132204425,3.323805592759646,6,lgbm_large,241,341
52,2.7353824852384774,3.314457697615267,6,lgbm_large,241,341
53,2.7231774450986608,3.3043843194975433,6,lgbm_large,241,341
54,2.7107991003278675,3.2956341037656967,6,lgbm_large,241,341
55,2.6990806345608247,3.2852224278196926,6,lgbm_large,241,341
56,2.6875063330760596,3.2791955191489404,6,lgbm_large,241,341
57,2.6758607001547525,3.2708550271726935,6,lgbm_large,241,341
58,2.6648543567231093,3.26326829647532,6,lgbm_large,241,341
59,2.6540000954598963,3.2534009024553905,6,lgbm_large,241,341
60,2.6435919353261705,3.2451631351133488,6,lgbm_large,241,341
61,2.6331894464609404,3.2360129929587016,6,lgbm_large,241,341
62,2.622617356256392,3.228535670445427,6,lgbm_large,241,341
63,2.6122881961074857,3.220888827293745,6,lgbm_large,241,341
64,2.601900680280324,3.2141739152687983,6,lgbm_large,241,341
65,2.592714242197926,3.2072258895094263,6,lgbm_large,241,341
66,2.583243170415709,3.20105759583787,6,lgbm_large,241,341
67,2.573658948472156,3.195330213342292,6,lgbm_large,241,341
68,2.5645245421192633,3.1916649096500156,6,lgbm_large,241,341
69,2.5552039908345785,3.185253036114129,6,lgbm_large,241,341
70,2.5462435976867495,3.1804136530425136,6,lgbm_large,241,341
71,2.5378716989048242,3.176084081314933,6,lgbm_large,241,341
72,2.5298546992238813,3.1692168095027853,6,lgbm_large,241,341
73,2.52147505929558,3.1667246335539256,6,lgbm_large,241,341
74,2.513655220882328,3.163165784201145,6,lgbm_large,241,341
75,2.5056933429563633,3.158369269488156,6,lgbm_large,241,341
76,2.497927575875599,3.1527930608948287,6,lgbm_large,241,341
77,2.4907106686503457,3.1469014668334387,6,lgbm_large,241,341
78,2.4834393354186197,3.1412247634684207,6,lgbm_large,241,341
79,2.4760262307966414,3.139630704526317,6,lgbm_large,241,341
80,2.468796234975446,3.135713978804415,6,lgbm_large,241,341
81,2.461832950389058,3.132813438225794,6,lgbm_large,241,341
82,2.454793603027677,3.130895729311696,6,lgbm_large,241,341
83,2.448091815842497,3.1261037464057213,6,lgbm_large,241,341
84,2.440699072123564,3.121759691479597,6,lgbm_large,241,341
85,2.4341260925228556,3.1170266821790356,6,lgbm_large,241,341
