horizon_h,model,mae_mean,mae_std,mae_min,mae_max,mae_cv,mae_range
1,persistence,0.9016523155690016,,0.9016523155690016,0.9016523155690016,,0.0
1,lgbm_small,1.4181686900521204,,1.4181686900521204,1.4181686900521204,,0.0
1,ridge_lag,1.435743697518462,,1.435743697518462,1.435743697518462,,0.0
1,rf_stable,1.4427147956732245,,1.4427147956732245,1.4427147956732245,,0.0
1,lgbm_medium,1.449732326671241,,1.449732326671241,1.449732326671241,,0.0
1,lgbm_large,1.4787286335733325,,1.4787286335733325,1.4787286335733325,,0.0
1,rolling_mean_24h,2.6520132848833575,,2.6520132848833575,2.6520132848833575,,0.0
1,rolling_mean_168h,3.658841270414162,,3.658841270414162,3.658841270414162,,0.0
1,seasonal_naive_daily,3.942988343341575,,3.942988343341575,3.942988343341575,,0.0
1,seasonal_naive_weekly,4.8880339863110684,,4.8880339863110684,4.8880339863110684,,0.0
6,persistence,2.5029959040374488,,2.5029959040374488,2.5029959040374488,,0.0
6,rf_stable,2.5819279554733026,,2.5819279554733026,2.5819279554733026,,0.0
6,lgbm_small,2.609295510630329,,2.609295510630329,2.609295510630329,,0.0
6,lgbm_medium,2.6436423686858785,,2.6436423686858785,2.6436423686858785,,0.0
6,ridge_lag,2.646512732675249,,2.646512732675249,2.646512732675249,,0.0
6,lgbm_large,2.7064732177861153,,2.7064732177861153,2.7064732177861153,,0.0
6,rolling_mean_24h,3.100537380510174,,3.100537380510174,3.100537380510174,,0.0
6,rolling_mean_168h,3.74228606062936,,3.74228606062936,3.74228606062936,,0.0
6,seasonal_naive_daily,4.203123526638378,,4.203123526638378,4.203123526638378,,0.0
6,seasonal_naive_weekly,4.837009919697685,,4.837009919697685,4.837009919697685,,0.0
12,ridge_lag,3.136407264565875,,3.136407264565875,3.136407264565875,,0.0
12,rf_stable,3.139895253298985,,3.139895253298985,3.139895253298985,,0.0
12,persistence,3.191436464088398,,3.191436464088398,3.191436464088398,,0.0
12,lgbm_medium,3.232952232874995,,3.232952232874995,3.232952232874995,,0.0
12,lgbm_large,3.242852477142618,,3.242852477142618,3.242852477142618,,0.0
12,lgbm_small,3.298505903732201,,3.298505903732201,3.298505903732201,,0.0
12,rolling_mean_24h,3.467339100418705,,3.467339100418705,3.467339100418705,,0.0
12,rolling_mean_168h,3.8102500049494594,,3.8102500049494594,3.8102500049494594,,0.0
12,seasonal_naive_daily,4.332062330303387,,4.332062330303387,4.332062330303387,,0.0
12,seasonal_naive_weekly,4.742944930276531,,4.742944930276531,4.742944930276531,,0.0
24,ridge_lag,3.5990802363515466,,3.5990802363515466,3.5990802363515466,,0.0
24,rf_stable,3.6698396634495665,,3.6698396634495665,3.6698396634495665,,0.0
24,lgbm_small,3.7447999645582084,,3.7447999645582084,3.7447999645582084,,0.0
24,lgbm_large,3.7866050364595396,,3.7866050364595396,3.7866050364595396,,0.0
24,lgbm_medium,3.8569315678929335,,3.8569315678929335,3.8569315678929335,,0.0
24,persistence,3.8779010742533346,,3.8779010742533346,3.8779010742533346,,0.0
24,rolling_mean_168h,3.8977433584934134,,3.8977433584934134,3.8977433584934134,,0.0
24,rolling_mean_24h,3.941760882211309,,3.941760882211309,3.941760882211309,,0.0
24,seasonal_naive_weekly,4.548053715097018,,4.548053715097018,4.548053715097018,,0.0
24,seasonal_naive_daily,4.580765589871022,,4.580765589871022,4.580765589871022,,0.0
48,ridge_lag,3.9326391396639773,,3.9326391396639773,3.9326391396639773,,0.0
48,rolling_mean_168h,3.941686893181706,,3.941686893181706,3.941686893181706,,0.0
48,lgbm_small,4.061141156929947,,4.061141156929947,4.061141156929947,,0.0
48,rf_stable,4.103751796299224,,4.103751796299224,4.103751796299224,,0.0
48,lgbm_medium,4.117477913143895,,4.117477913143895,4.117477913143895,,0.0
48,lgbm_large,4.242980327456417,,4.242980327456417,4.242980327456417,,0.0
48,rolling_mean_24h,4.44940112965902,,4.44940112965902,4.44940112965902,,0.0
48,seasonal_naive_weekly,4.561055067647756,,4.561055067647756,4.561055067647756,,0.0
48,persistence,4.590856769906253,,4.590856769906253,4.590856769906253,,0.0
48,seasonal_naive_daily,4.825118680275338,,4.825118680275338,4.825118680275338,,0.0
72,ridge_lag,3.8750453933756335,,3.8750453933756335,3.8750453933756335,,0.0
72,rolling_mean_168h,3.944736127710867,,3.944736127710867,3.944736127710867,,0.0
72,rf_stable,4.122781382137732,,4.122781382137732,4.122781382137732,,0.0
72,lgbm_small,4.207931473439324,,4.207931473439324,4.207931473439324,,0.0
72,lgbm_medium,4.308086055343644,,4.308086055343644,4.308086055343644,,0.0
72,lgbm_large,4.3298585412042145,,4.3298585412042145,4.3298585412042145,,0.0
72,rolling_mean_24h,4.715283005856877,,4.715283005856877,4.715283005856877,,0.0
72,seasonal_naive_weekly,4.766674598453301,,4.766674598453301,4.766674598453301,,0.0
72,persistence,4.832196834463882,,4.832196834463882,4.832196834463882,,0.0
72,seasonal_naive_daily,5.090104724503154,,5.090104724503154,5.090104724503154,,0.0
